Date,High,Low,Open,Close,Volume
10-Jan-20,24.06,23.09,23.78,23.09,1.35M
03-Jan-20,25,23.8,24.81,23.89,659.74K
27-Dec-19,26.13,25.05,25.19,25.89,2.05M
20-Dec-19,27.37,24.97,26.75,25.03,2.14M
13-Dec-19,26.75,25.59,25.61,26.73,1.71M
06-Dec-19,25.85,24.67,25.34,25.6,965.15K
29-Nov-19,25.8,24.82,25.12,25.26,1.72M
22-Nov-19,25.07,23.03,23.21,25,2.14M
15-Nov-19,23.8,22.32,23.68,23.26,1.83M
08-Nov-19,24.48,22.01,22.19,23.86,2.02M
01-Nov-19,23.04,21.87,22.5,22,1.37M
25-Oct-19,23.22,22.02,23.15,22.29,1.17M
18-Oct-19,24.22,22.39,24.19,22.92,1.16M
11-Oct-19,24.37,22.16,23.09,24.31,1.52M
04-Oct-19,24.84,22.19,24.06,23.01,1.70M
27-Sep-19,26.94,23.9,26.91,24.01,3.78M
20-Sep-19,27.83,26.46,27.5,27.11,1.66M
13-Sep-19,27.89,25.11,25.55,27.08,1.46M
06-Sep-19,26.15,24.94,25.82,25.42,1.67M
30-Aug-19,26.37,24.89,25.55,26.04,1.44M
23-Aug-19,26.83,25.19,26.35,25.37,1.18M
16-Aug-19,27.99,25.39,27.65,26.26,1.35M
09-Aug-19,29.49,27.72,28.49,27.75,1.34M
02-Aug-19,32.26,28.91,31.49,29.02,1.20M
26-Jul-19,35.27,31.51,35.27,31.52,1.43M
19-Jul-19,35.6,33.14,34.38,35.25,1.25M
12-Jul-19,34.73,34.02,34.21,34.35,1.15M
05-Jul-19,36.01,33.98,34.97,34.33,1.15M
28-Jun-19,35.02,33.55,33.63,35.02,1.54M
21-Jun-19,34.72,32.63,32.82,33.83,1.38M
14-Jun-19,32.81,30.82,30.87,32.76,1.21M
07-Jun-19,31.73,30.41,31.6,30.84,1.07M
31-May-19,31.85,30.74,30.96,31.52,758.64K
24-May-19,33.32,30.64,33.19,31,841.70K
17-May-19,33.23,29.81,30.4,33.13,1.05M
10-May-19,31.29,28.88,29.01,30.68,1.11M
03-May-19,31.49,28.97,30.31,29.42,733.15K
26-Apr-19,32.46,29.91,31.75,30.32,582.65K
